sample_id,image_id,seed1_y,seed1_x,seed2_y,seed2_x,distance,path_length,path_cost,normalized_cost,label
14,S1585-2_a,735,2478,732,2471,7.615773105863909,8,2.690013241518055,0.33625165518975686,1
19,S1585-2_a,740,2490,740,2500,10.0,12,2.7276825795668387,0.2273068816305699,1
25,S1585-2_a,740,2460,732,2465,9.433981132056603,10,4.27565319994606,0.427565319994606,1
30,S1585-2_a,746,2458,750,2465,8.06225774829855,9,2.421011412122664,0.26900126801362934,1
31,S1585-2_a,746,2458,751,2461,5.830951894845301,6,1.9810343308998166,0.33017238848330277,1
32,S1585-2_a,746,2458,754,2458,8.0,9,2.9172607942500104,0.3241400882500012,1
33,S1585-2_a,751,2461,746,2458,5.830951894845301,6,1.9810343308998166,0.33017238848330277,1
34,S1585-2_a,751,2461,754,2458,4.242640687119285,4,1.2225780875652,0.3056445218913,1
42,S1585-2_a,756,3433,763,3424,11.40175425099138,12,4.878497632790508,0.40654146939920904,1
43,S1585-2_a,756,3433,762,3422,12.529964086141668,14,5.013269924932764,0.3580907089237689,1
44,S1585-2_a,765,3435,770,3431,6.4031242374328485,7,3.5723094636652966,0.5103299233807567,1
45,S1585-2_a,765,3435,774,3429,10.816653826391969,10,4.088974602408516,0.4088974602408516,1
46,S1585-2_a,765,3435,765,3439,4.0,5,1.9671715495809523,0.39343430991619044,1
48,S1585-2_a,761,3167,765,3155,12.649110640673518,15,7.967262555686475,0.531150837045765,1
50,S1585-2_a,761,3167,766,3158,10.295630140987,12,6.525848070229498,0.5438206725191248,1
51,S1585-2_a,764,3172,765,3155,17.029386365926403,18,9.03645381509282,0.5020252119496011,1
53,S1585-2_a,764,3172,766,3158,14.142135623730951,15,7.595039329635843,0.5063359553090562,1
56,S1585-2_a,762,2459,754,2458,8.06225774829855,9,2.094580247284075,0.23273113858711947,1
57,S1585-2_a,762,2459,769,2459,7.0,8,1.7810579056809295,0.22263223821011618,1
58,S1585-2_a,764,2460,769,2459,5.0990195135927845,6,1.3861117387682955,0.23101862312804924,1
59,S1585-2_a,762,3422,760,3432,10.198039027185569,11,4.039103175867073,0.36719119780609755,1
60,S1585-2_a,762,3422,756,3433,12.529964086141668,14,5.0132699249327635,0.3580907089237688,1
61,S1585-2_a,762,3422,763,3433,11.045361017187261,12,4.583566030856133,0.38196383590467775,1
63,S1585-2_a,763,3424,774,3429,12.083045973594572,12,6.614022184203396,0.551168515350283,1
64,S1585-2_a,763,3424,760,3432,8.54400374531753,9,3.9043308837248176,0.43381454263609087,1
65,S1585-2_a,763,3424,756,3433,11.40175425099138,12,4.878497632790508,0.40654146939920904,1
66,S1585-2_a,763,3424,763,3433,9.0,10,4.448793738713878,0.44487937387138776,1
70,S1585-2_a,766,3158,761,3167,10.295630140987,12,6.5258480702294985,0.5438206725191249,1
71,S1585-2_a,766,3158,765,3168,10.04987562112089,11,5.841977016398579,0.5310888196725981,1
72,S1585-2_a,766,3158,766,3171,13.0,14,6.764252510279123,0.48316089359136594,1
73,S1585-2_a,766,3158,764,3172,14.142135623730951,15,7.595039329635844,0.5063359553090563,1
75,S1585-2_a,769,3152,771,3149,3.605551275463989,4,2.1783292393711666,0.5445823098427917,1
76,S1585-2_a,766,3451,766,3446,5.0,6,2.427296751241796,0.40454945854029933,1
79,S1585-2_a,770,3460,773,3462,3.605551275463989,4,1.897280285442625,0.47432007136065624,1
94,S1585-2_a,769,2459,762,2459,7.0,8,1.7810579056809297,0.2226322382101162,1
95,S1585-2_a,769,2459,764,2460,5.0990195135927845,6,1.3861117387682955,0.23101862312804924,1
98,S1585-2_a,780,2459,784,2462,5.0,5,1.0277710618151135,0.20555421236302268,1
99,S1585-2_a,770,2208,779,2212,9.848857801796104,10,3.731945032677116,0.37319450326771164,1
100,S1585-2_a,770,2208,761,2202,10.816653826391969,10,3.097813483337408,0.30978134833374077,1
101,S1585-2_a,770,2208,764,2194,15.231546211727817,17,6.499274373525081,0.38231025726618123,1
102,S1585-2_a,770,2208,783,2216,15.264337522473747,14,5.587105832135484,0.39907898800967745,1
103,S1585-2_a,771,2210,779,2212,8.246211251235321,9,3.832961616277793,0.42588462403086585,1
104,S1585-2_a,771,2210,761,2202,12.806248474865697,11,3.6551714009033587,0.3322883091730326,1
105,S1585-2_a,771,2210,764,2194,17.46424919657298,18,7.056632291091032,0.39203512728283507,1
106,S1585-2_a,771,2210,783,2216,13.416407864998739,13,5.688122415736161,0.43754787813355084,1
108,S1585-2_a,770,3431,763,3433,7.280109889280518,8,3.5989327560117137,0.4498665945014642,1
109,S1585-2_a,770,3431,765,3435,6.4031242374328485,7,3.572309463665296,0.5103299233807566,1
110,S1585-2_a,770,3431,765,3439,9.433981132056603,9,5.286062365603425,0.587340262844825,1
112,S1585-2_a,774,3429,763,3424,12.083045973594572,12,6.614022184203394,0.5511685153502829,1
113,S1585-2_a,774,3429,783,3425,9.848857801796104,10,5.127966381432768,0.5127966381432768,1
114,S1585-2_a,774,3429,763,3433,11.704699910719626,12,4.221474512662544,0.3517895427218787,1
115,S1585-2_a,774,3429,765,3435,10.816653826391969,10,4.088974602408517,0.4088974602408517,1
116,S1585-2_a,774,3429,765,3439,13.45362404707371,12,5.802727504346646,0.4835606253622205,1
132,S1585-2_a,785,3507,787,3510,3.605551275463989,4,1.6101881657981107,0.4025470414495277,1
133,S1585-2_a,785,3507,789,3515,8.94427190999916,9,3.906375215490175,0.43404169061001946,1
137,S1585-2_a,783,3425,799,3418,17.46424919657298,17,10.54404916437011,0.6202381861394182,1
